City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,75.2,few clouds,-21.2,-175.2,Keleti Beach Resort
1,San Pedro,PH,78.8,scattered clouds,14.35,121.02,OYO 412 Viewfort Venue
2,Lagunas,PE,86.18,broken clouds,-5.23,-75.68,Hospedaje Eco
11,Avarua,CK,78.8,moderate rain,-21.21,-159.78,Paradise Inn
15,Buala,SB,78.84,light rain,-8.14,159.59,Maringe Lagoon Lodge
18,Rikitea,PF,76.03,light rain,-23.12,-134.97,Pension Maro'i
22,Lazaro Cardenas,MX,78.64,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
32,Georgetown,MY,82.4,light rain,5.41,100.34,Cititel Penang
35,Butaritari,KI,80.76,moderate rain,3.07,172.79,Isles Sunset Lodge
39,Saint-Philippe,RE,78.8,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
41,Mahebourg,MU,78.8,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
46,Tapiramuta,BR,76.23,overcast clouds,-11.85,-40.79,Hotel Visão
48,Ratnagiri,IN,80.29,clear sky,16.98,73.3,Hotel Landmark
60,Sakaraha,MG,80.04,moderate rain,-22.9,44.53,Le Relais
62,Bathsheba,BB,86.0,scattered clouds,13.22,-59.52,Atlantis Hotel
63,Samarai,PG,80.96,broken clouds,-10.62,150.67,Nuli Sapi
68,Kavieng,PG,81.91,heavy intensity rain,-2.57,150.8,Nusa Island Retreat
73,Port Blair,IN,81.16,light rain,11.67,92.75,Fortune Resort Bay Island
76,Cidreira,BR,80.55,light rain,-30.18,-50.21,Hotel Castelo
81,Angoche,MZ,83.43,clear sky,-16.23,39.91,Guest House HESADA
82,Mayumba,GA,79.9,overcast clouds,-3.43,10.66,LIKWALE LODGE
83,Imbituba,BR,82.4,light rain,-28.24,-48.67,Praia Hotel Imbituba
84,Cayenne,GF,86.0,broken clouds,4.93,-52.33,Hôtel Le Dronmi
86,Luganville,VU,78.01,overcast clouds,-15.53,167.17,The Espiritu Hotel
89,Puerto Escondido,MX,77.0,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
98,Hobyo,SO,79.99,clear sky,5.35,48.53,Halane Hotel and Restaurent
99,Bien Hoa,VN,78.8,broken clouds,10.95,106.82,OYO 991 Duy Anh Hotel
100,Jeremie,HT,81.59,clear sky,18.65,-74.12,Auberge’Inn
101,Inhambane,MZ,80.6,broken clouds,-23.86,35.38,Oceano
108,Adrar,MR,77.02,overcast clouds,20.5,-10.07,
110,Kapaa,US,75.2,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
112,Alofi,NU,77.0,light rain,-19.06,-169.92,Taloa Heights
113,Taoudenni,ML,78.89,overcast clouds,22.68,-3.98,
116,Arraial Do Cabo,BR,84.2,clear sky,-22.97,-42.03,Pousada Porto Praia
118,Sambava,MG,78.03,clear sky,-14.27,50.17,Melrose
119,Emilio Carranza,MX,77.88,few clouds,19.97,-96.61,casa carranza
121,Pochutla,MX,77.0,broken clouds,15.74,-96.47,Hotel Posada San Jose
123,Atuona,PF,78.42,light rain,-9.8,-139.03,Villa Enata
126,Portobelo,PA,84.0,scattered clouds,9.55,-79.65,Scuba Portobelo
129,Kralendijk,BQ,82.4,broken clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
130,Shakawe,BW,77.94,light rain,-18.37,21.85,Ditlhapi Guest House
140,Luanda,AO,84.2,few clouds,-8.84,13.23,EPIC SANA Luanda
141,Maceio,BR,80.6,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
145,Touros,BR,87.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
150,Port-Gentil,GA,84.2,scattered clouds,-0.72,8.78,Fengshui Residence
158,Yulara,AU,89.6,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
160,Hithadhoo,MV,82.78,broken clouds,-0.6,73.08,Scoop Guest House
161,Bairiki,KI,82.4,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
168,Coro,VE,83.86,overcast clouds,11.4,-69.67,Federal
169,Lumajang,ID,75.63,overcast clouds,-8.13,113.22,SPOT ON 2440 Wallet Family Residence
171,Madras,IN,80.6,mist,13.09,80.28,"Taj Connemara, Chennai"
