City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,75.2,78,20,12.75,few clouds
1,San Pedro,PH,14.35,121.02,78.8,88,40,4.7,scattered clouds
2,Lagunas,PE,-5.23,-75.68,86.18,63,74,3.49,broken clouds
3,Washington,US,47.5,-120.5,30.99,92,40,6.93,scattered clouds
4,Luderitz,NA,-26.65,15.16,73.4,56,0,24.16,clear sky
5,Sandovo,RU,58.46,36.41,35.76,91,100,11.68,overcast clouds
6,Winnemucca,US,40.97,-117.74,17.6,72,1,5.82,clear sky
7,Bowmore,US,34.94,-79.3,53.01,87,1,3.36,clear sky
8,Trat,TH,12.5,102.5,74.21,83,83,5.03,broken clouds
9,Taunsa,PK,30.7,70.65,62.8,28,26,2.64,scattered clouds
10,Derzhavinsk,KZ,51.1,66.32,2.55,93,0,6.64,clear sky
11,Avarua,CK,-21.21,-159.78,78.8,94,96,8.05,moderate rain
12,Saint Anthony,US,45.02,-93.22,37.4,59,90,16.11,overcast clouds
13,Airai,TL,-8.93,125.41,63.0,100,14,1.48,few clouds
14,Mataura,NZ,-46.19,168.86,52.0,85,100,2.53,overcast clouds
15,Buala,SB,-8.14,159.59,78.84,78,100,5.86,light rain
16,Ulaangom,MN,49.98,92.07,9.79,91,100,3.53,overcast clouds
17,Qaanaaq,GL,77.48,-69.36,-14.17,83,90,4.38,overcast clouds
18,Rikitea,PF,-23.12,-134.97,76.03,82,93,12.55,light rain
19,Pachino,IT,36.72,15.09,55.99,86,100,6.24,overcast clouds
20,Jamestown,US,42.1,-79.24,39.0,74,1,8.05,clear sky
21,Althofen,AT,46.88,14.47,35.6,80,20,3.36,few clouds
22,Lazaro Cardenas,MX,17.96,-102.2,78.64,72,0,3.29,clear sky
23,Barrow,US,71.29,-156.79,6.8,77,90,8.05,haze
24,Olafsvik,IS,64.89,-23.71,36.25,87,100,19.89,overcast clouds
25,Albany,US,42.6,-73.97,39.0,68,0,3.24,clear sky
26,Kouroussa,GN,10.65,-9.88,95.29,20,92,4.27,overcast clouds
27,Ereymentau,KZ,51.62,73.1,3.24,95,100,7.29,overcast clouds
28,Khatanga,RU,71.97,102.5,12.49,96,100,21.45,light snow
29,Krasnoselkup,RU,65.7,82.47,-1.26,92,90,10.98,overcast clouds
30,Coquimbo,CL,-29.95,-71.34,60.8,72,0,14.99,clear sky
31,Borovichi,RU,58.39,33.92,35.96,90,100,11.01,overcast clouds
32,Georgetown,MY,5.41,100.34,82.4,88,20,3.36,light rain
33,East London,ZA,-33.02,27.91,71.6,64,20,12.75,few clouds
34,Punta Arenas,CL,-53.15,-70.92,50.0,71,75,32.21,broken clouds
35,Butaritari,KI,3.07,172.79,80.76,83,32,15.61,moderate rain
36,Ushuaia,AR,-54.8,-68.3,44.6,75,75,21.92,broken clouds
37,Saint George,US,37.1,-113.58,26.6,45,1,4.9,clear sky
38,Komsomolskiy,UZ,40.43,71.72,32.0,87,0,4.7,mist
39,Saint-Philippe,RE,-21.36,55.77,78.8,69,75,5.82,broken clouds
40,Hermanus,ZA,-34.42,19.23,72.0,59,0,5.01,clear sky
41,Mahebourg,MU,-20.41,57.7,78.8,69,40,10.29,scattered clouds
42,Yellowknife,CA,62.46,-114.35,17.6,92,75,11.41,broken clouds
43,Ravar,IR,31.27,56.81,59.5,34,39,2.75,scattered clouds
44,Nanortalik,GL,60.14,-45.24,29.26,90,1,6.42,clear sky
45,Lagoa,PT,39.05,-27.98,58.78,75,99,27.51,overcast clouds
46,Tapiramuta,BR,-11.85,-40.79,76.23,62,98,7.56,overcast clouds
47,Bereda,ES,43.27,-7.54,59.0,91,100,5.01,overcast clouds
48,Ratnagiri,IN,16.98,73.3,80.29,72,4,4.56,clear sky
49,Hobart,AU,-42.88,147.33,50.0,71,2,6.93,clear sky
50,Katsuura,JP,35.13,140.3,51.8,66,40,9.17,scattered clouds
51,Mount Pleasant,US,32.79,-79.86,66.0,93,90,11.83,overcast clouds
52,Concarneau,FR,47.88,-3.92,59.0,47,0,10.29,clear sky
53,Upernavik,GL,72.79,-56.15,7.32,75,100,8.55,overcast clouds
54,Port Alfred,ZA,-33.59,26.89,68.29,67,0,12.59,clear sky
55,Namanyere,TZ,-7.52,31.05,68.04,88,100,3.31,moderate rain
56,Petatlan,MX,17.52,-101.27,73.4,83,5,0.74,clear sky
57,Hilo,US,19.73,-155.09,66.2,77,1,3.36,clear sky
58,Bluff,NZ,-46.6,168.33,52.0,85,100,6.76,overcast clouds
59,Askarovo,RU,53.34,58.51,-0.4,84,20,0.92,mist
60,Sakaraha,MG,-22.9,44.53,80.04,62,82,8.01,moderate rain
61,Victoria,HK,22.29,114.16,68.0,64,71,1.01,broken clouds
62,Bathsheba,BB,13.22,-59.52,86.0,74,40,18.34,scattered clouds
63,Samarai,PG,-10.62,150.67,80.96,84,61,7.76,broken clouds
64,Istisu,AZ,40.95,48.07,42.8,75,90,2.35,mist
65,Ribeira Grande,PT,38.52,-28.7,59.0,62,75,4.7,broken clouds
66,Gat,IL,31.61,34.76,64.0,20,0,6.91,clear sky
67,Nyborg,DK,55.31,10.79,35.6,75,75,6.93,broken clouds
68,Kavieng,PG,-2.57,150.8,81.91,81,100,20.0,heavy intensity rain
69,Red Wing,US,44.56,-92.53,37.4,64,90,9.17,overcast clouds
70,Pingliang,CN,35.54,106.69,26.38,90,24,2.04,few clouds
71,Ileza,RU,61.05,43.9,16.48,97,94,6.26,overcast clouds
72,Isangel,VU,-19.55,169.27,70.97,75,28,6.78,scattered clouds
73,Port Blair,IN,11.67,92.75,81.16,79,4,15.43,light rain
74,Istria,RO,44.57,28.72,35.6,93,75,6.93,mist
75,Erdenet,MN,49.03,104.08,2.68,90,0,3.04,clear sky
76,Cidreira,BR,-30.18,-50.21,80.55,73,64,4.85,light rain
77,Cape Town,ZA,-33.93,18.42,72.0,52,0,21.92,clear sky
78,Geraldton,AU,-28.77,114.6,64.4,63,27,12.75,scattered clouds
79,Puerto Ayora,EC,-0.74,-90.35,70.0,97,97,1.99,light rain
80,Nemuro,JP,43.32,145.57,35.83,81,100,9.91,overcast clouds
81,Angoche,MZ,-16.23,39.91,83.43,70,1,9.4,clear sky
82,Mayumba,GA,-3.43,10.66,79.9,81,100,7.67,overcast clouds
83,Imbituba,BR,-28.24,-48.67,82.4,65,20,17.22,light rain
84,Cayenne,GF,4.93,-52.33,86.0,66,75,13.87,broken clouds
85,Shenjiamen,CN,29.96,122.3,54.36,68,66,16.44,broken clouds
86,Luganville,VU,-15.53,167.17,78.01,82,99,9.82,overcast clouds
87,Yeppoon,AU,-23.13,150.73,69.8,83,0,6.02,clear sky
88,Steamboat Springs,US,40.48,-106.83,17.6,92,1,3.42,clear sky
89,Puerto Escondido,MX,15.85,-97.07,77.0,88,90,5.82,overcast clouds
90,Port Lincoln,AU,-34.73,135.87,59.11,80,71,13.38,broken clouds
91,Mujiayingzi,CN,42.12,118.78,6.01,86,0,6.6,clear sky
92,Tiksi,RU,71.69,128.87,0.09,89,100,18.34,overcast clouds
93,Pevek,RU,69.7,170.31,-0.47,94,100,8.79,overcast clouds
94,Sao Filipe,CV,14.9,-24.5,74.82,72,87,13.62,overcast clouds
95,Busselton,AU,-33.65,115.33,54.0,95,62,17.65,broken clouds
96,Biskamzha,RU,53.45,89.53,6.51,90,0,1.43,clear sky
97,Madawaska,US,47.36,-68.33,34.0,92,0,2.24,clear sky
98,Hobyo,SO,5.35,48.53,79.99,68,5,16.15,clear sky
99,Bien Hoa,VN,10.95,106.82,78.8,94,75,2.24,broken clouds
100,Jeremie,HT,18.65,-74.12,81.59,62,0,5.46,clear sky
101,Inhambane,MZ,-23.86,35.38,80.6,83,75,6.93,broken clouds
102,Ponta Do Sol,PT,32.67,-17.1,62.6,63,40,18.34,light intensity shower rain
103,Dikson,RU,73.51,80.55,31.66,99,100,27.72,snow
104,Saldanha,ZA,-33.01,17.94,73.4,46,0,19.46,clear sky
105,Guia De Isora,ES,28.21,-16.78,69.01,82,75,6.93,broken clouds
106,Pauini,BR,-7.71,-66.98,95.14,47,100,1.01,overcast clouds
107,Byron Bay,AU,-28.65,153.62,73.4,78,85,8.05,overcast clouds
108,Adrar,MR,20.5,-10.07,77.02,21,91,7.31,overcast clouds
109,College,US,64.86,-147.8,15.01,84,75,3.36,broken clouds
110,Kapaa,US,22.08,-159.32,75.2,78,20,13.87,few clouds
111,Nelson Bay,AU,-32.72,152.15,69.8,68,75,11.41,broken clouds
112,Alofi,NU,-19.06,-169.92,77.0,94,100,4.7,light rain
113,Taoudenni,ML,22.68,-3.98,78.89,17,100,3.65,overcast clouds
114,Saskylakh,RU,71.92,114.08,11.35,93,99,15.46,overcast clouds
115,Rio Gallegos,AR,-51.62,-69.22,53.6,54,75,23.04,broken clouds
116,Arraial Do Cabo,BR,-22.97,-42.03,84.2,65,0,18.34,clear sky
117,Vardo,NO,70.37,31.11,32.0,86,20,24.16,few clouds
118,Sambava,MG,-14.27,50.17,78.03,78,5,9.33,clear sky
119,Emilio Carranza,MX,19.97,-96.61,77.88,70,18,1.41,few clouds
120,New Norfolk,AU,-42.78,147.06,48.99,63,3,2.68,clear sky
121,Pochutla,MX,15.74,-96.47,77.0,78,75,2.06,broken clouds
122,Tuatapere,NZ,-46.13,167.68,52.0,85,100,3.2,overcast clouds
123,Atuona,PF,-9.8,-139.03,78.42,78,1,17.18,light rain
124,Plouzane,FR,48.38,-4.62,59.0,62,0,10.29,clear sky
125,Hamilton,US,39.18,-84.53,43.0,74,40,3.27,scattered clouds
126,Portobelo,PA,9.55,-79.65,84.0,99,39,5.86,scattered clouds
127,Andenes,NO,69.31,16.12,43.0,87,75,23.04,heavy intensity rain
128,San Patricio,US,28.02,-97.52,57.2,93,75,11.41,broken clouds
129,Kralendijk,BQ,12.15,-68.27,82.4,83,75,14.99,broken clouds
130,Shakawe,BW,-18.37,21.85,77.94,61,94,3.24,light rain
131,Fortuna,US,40.6,-124.16,43.0,93,1,4.7,clear sky
132,Kodiak,US,57.79,-152.41,21.2,85,40,4.7,scattered clouds
133,Fagersta,SE,60.0,15.79,25.0,92,59,3.36,broken clouds
134,Ancud,CL,-41.87,-73.82,55.99,62,75,4.7,broken clouds
135,Bentiu,SS,9.23,29.83,92.32,18,0,3.89,clear sky
136,Makinsk,KZ,52.63,70.42,5.5,94,100,8.1,overcast clouds
137,Ishinomaki,JP,38.42,141.3,43.61,80,63,11.07,broken clouds
138,Langarud,IR,37.2,50.15,51.8,100,90,4.7,moderate rain
139,Iqaluit,CA,63.75,-68.51,-11.2,69,20,23.04,few clouds
140,Luanda,AO,-8.84,13.23,84.2,74,20,9.17,few clouds
141,Maceio,BR,-9.67,-35.74,80.6,69,75,10.29,broken clouds
