City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2020-11-28 18:14:45,42.6,-73.97,48.99,58,95,3.0
1,Qaanaaq,GL,2020-11-28 18:14:45,77.48,-69.36,1.33,84,100,6.87
2,Coihaique,CL,2020-11-28 18:14:46,-45.58,-72.07,50.0,53,75,5.82
3,Goya,AR,2020-11-28 18:10:16,-29.14,-59.26,85.78,75,85,5.84
4,Nikolskoye,RU,2020-11-28 18:14:46,59.7,30.79,32.0,94,90,11.18
5,Hobart,AU,2020-11-28 18:13:06,-42.88,147.33,57.99,71,90,9.17
6,Ushuaia,AR,2020-11-28 18:11:09,-54.8,-68.3,44.6,65,75,4.7
7,Port Alfred,ZA,2020-11-28 18:14:46,-33.59,26.89,66.88,80,70,10.87
8,Puerto Quijarro,BO,2020-11-28 18:14:46,-17.78,-57.77,97.16,31,52,2.68
9,Vaini,TO,2020-11-28 18:14:38,-21.2,-175.2,73.4,100,40,4.7
10,Tasiilaq,GL,2020-11-28 18:14:47,65.61,-37.64,19.4,44,20,5.82
11,Busselton,AU,2020-11-28 18:14:47,-33.65,115.33,48.0,93,55,8.52
12,Chifeng,CN,2020-11-28 18:14:48,42.27,118.96,8.62,86,91,5.79
13,Punta Arenas,CL,2020-11-28 18:14:48,-53.15,-70.92,48.2,54,75,26.4
14,Axim,GH,2020-11-28 18:14:48,4.87,-2.24,80.2,79,56,6.62
15,Lavrentiya,RU,2020-11-28 18:14:48,65.58,-171.0,19.31,93,100,20.36
16,Grobina,LV,2020-11-28 18:14:48,56.54,21.17,35.6,93,100,5.82
17,Labuan,MY,2020-11-28 18:14:37,5.28,115.24,75.2,94,40,1.12
18,Clyde River,CA,2020-11-28 18:14:48,70.47,-68.59,-5.8,83,75,17.22
19,Jamestown,US,2020-11-28 18:13:08,42.1,-79.24,41.0,69,75,13.87
20,Upernavik,GL,2020-11-28 18:14:49,72.79,-56.15,-0.62,71,69,6.42
